Study_days,Tumor_volume_mm3
99.8634394852952,1.3570196775382
102.909011882079,13.9350558396275
105.822168087698,13.9350558396275
113.899555748733,101.981308974253
119.858284351135,139.71541746052
128.862585350322,252.917742919324
133.894400614573,273.881136522806
141.839372084443,470.937036395539
147.798100686846,500.285787440414
154.816158818565,764.424546844289
163.820459817751,1057.91205729304
169.646772228989,1171.11438275184
175.870333213721,1213.04116995881
181.829061816123,1774.86011853213
