Study_days,Tumor_volume_mm3
8.40203562340966,2.97731568998107
13.735368956743,2.97731568998107
22.8782260996001,2.97731568998107
29.735368956743,2.97731568998107
37.735368956743,2.97731568998107
44.9734641948382,2.97731568998107
52.9734641948382,2.97731568998107
57.9258451472192,2.97731568998107
68.9734641948382,2.97731568998107
76.9734641948382,2.97731568998107
84.9734641948382,2.97731568998107
90.6877499091239,2.97731568998107
100.973464194838,2.97731568998107
106.687749909124,2.97731568998107
112.021083242457,2.97731568998107
120.782988004362,2.97731568998107
125.354416575791,5.09991898460705
131.449654671029,68.7780178233864
138.687749909124,102.739670537402
146.687749909124,138.823926546044
153.163940385314,259.812314339725
160.782988004362,281.038347285984
166.8782260996,323.490413178504
173.354416575791,423.252768025925
188.973464194838,550.608965703484
203.068702290076,845.650823656495
212.973464194838,890.22549284364
