Study_days,Tumor_volume_mm3
6.12531130520186,63.875465619652
11.6393595005086,70.4696466324376
18.7616717527798,195.759085875365
25.6542319969132,307.860163092722
32.7765442491845,459.526326386792
40.8178645340068,644.16339474479
45.6426567049002,716.699385885433
53.6839769897225,729.887747911004
67.6988494861272,987.060807409645
74.8211617383984,1145.3211517165
81.7137219825318,1376.117487164
88.836034234803,2068.50649350649
102.850906731208,2497.12825933756
111.811235048581,716.699385885433
116.865779227612,565.033222591362
