Study_days,Tumor_volume_mm3
5.42738609042181,3.18305252113827
14.3368539854566,3.18305252113827
19.1527825773673,29.1566376596924
33.3597719235039,29.1566376596924
40.1020719521789,41.2840214775039
47.0851684104495,81.7086342035423
54.06826486872,101.920940566562
61.0513613269905,146.388014565204
68.034457785261,170.642782200827
83.2046328497798,336.383694377584
89.2245435896682,332.34123310498
93.0772864631967,425.317842374869
103.190736506209,570.846448188607
107.043479379738,611.271060914645
117.15692942275,752.757205455779
124.140025881021,768.927050546195
130.882325909696,962.965191631179
137.624625938371,805.309201999629
146.052500974215,1706.77806579028
