Study_days,Tumor_volume_mm3
6.72387535145268,190.417057169634
14.3972586691659,118.919179668118
20.0244064354889,73.4205303489716
27.1862308653546,99.4197585313411
34.3480552952203,164.417828987265
40.9983208372384,1.92265284745555
49.1832630427991,73.4205303489716
54.2988519212746,4.57715419813682
62.9953530146829,4.57715419813682
69.1340596688535,4.57715419813682
89.0848562949079,4.57715419813682
104.943181818182,4.57715419813682
110.058770696657,4.57715419813682
118.243712902218,4.57715419813682
123.870860668541,4.57715419813682
139.217627303968,4.57715419813682
182.188573883162,4.57715419813682
203.162488284911,66.9207233033793
209.812753826929,86.4201444401564
223.113284910965,92.9199514857487
229.763550452983,144.918407850488
236.925374882849,151.41821489608
243.06408153702,183.917250124042
251.760582630428,222.916092397596
256.876171508904,287.91416285352
265.061113714464,411.410496719775
272.734497032178,541.406637631622
280.919439237738,749.400463090578
288.081263667604,957.394288549534
301.893353639488,1548.87672969844
310.078295845049,1925.8655383428
323.890385816932,2744.84122608744
