Study_days,Tumor_volume_mm3
0.0331029641374459,0.104043595990888
0.645134610651851,0.104043595990888
1.19100067375929,0.104043595990888
1.81957371612544,0.428526204514492
2.44814675849159,0.660299496317066
2.99401282159903,0.590767508776294
3.62258586396517,0.683476825497323
4.25115890633132,0.776186142218353
4.87973194869747,0.961604775660413
5.50830499106361,1.33244204254453
6.2361264085402,1.88869794287071
6.86469945090635,2.1668258930338
7.49327249327249,3.14027371860461
8.12184553563864,4.99446005302521
8.66771159874608,5.22623334482778
9.92485768347837,9.65310321825695
