Study_days,Tumor_volume_mm3
15.1986147304177,3.16150498088381
49.6999750102712,11.2206512562383
58.7996247305133,11.2206512562383
68.7870451551693,311.515608134825
77.8866948754114,488.612633986299
86.76440191955,600.26075897962
93.8665675548609,654.159853803982
99.8590198096545,796.607461554081
111.843924319242,931.355198614985
118.724147278449,996.804099473138
125.82631291376,1177.75106066921
135.813733338416,1162.35131929082
146.910867143589,1555.04472443974
154.900803483314,1624.34356064249
162.890739823039,1805.29052183856
169.99290545835,1555.04472443974
181.977809967937,2136.38496147393
